"conference","year","ordinal","location","submissions","accepted","acceptance_rate"
"NeurIPS","2005","19th","Vancouver, Canada","752","206","27.4"
"NeurIPS","2004","18th","Vancouver, Canada","823","207","25.2"
"NeurIPS","2003","17th","Vancouver, Canada","717","198","27.6"
"NeurIPS","2002","16th","Vancouver, Canada","694","207","29.8"
"NeurIPS","2000","14th","Denver, USA","514","152","29.6"
"NeurIPS","1999","13th","Denver, USA","467","150","32.1"
"NeurIPS","1998","12th","Denver, USA","474","150","31.6"
"NeurIPS","1997","11th","Denver, USA","491","150","30.5"
"NeurIPS","1996","10th","Denver, USA","509","151","29.7"
"NeurIPS","1995","9th","Denver, USA","462","152","32.9"
"NeurIPS","1994","8th","Denver, USA","509","151","29.7"
"NeurIPS","1993","7th","Denver, USA","515","144","28"
"CVPR","2025","38th","Nashville, USA","13008","2878","22.1"
"CVPR","2024","37th","Seattle, USA","11532","2719","23.6"
"CVPR","2023","36th","Vancouver, Canada","9155","2359","25.8"
"CVPR","2022","35th","New Orleans, USA","8161","2064","25.3"
"CVPR","2021","34th","Online, Online","7015","1663","23.7"
"CVPR","2020","33rd","Online, Online","6656","1470","22.1"
"CVPR","2019","32nd","Long Beach, California, USA","5165","1300","25.2"
"CVPR","2018","31st","Salt Lake City, USA","3303","979","29.6"
"CVPR","2017","30th","Honolulu, Hawaii, USA","2620","783","29.9"
"CVPR","2016","29th","Las Vegas, USA","1865","643","34.5"
"CVPR","2015","28th","Boston, USA","1815","602","33.2"
"CVPR","2014","27th","Columbus, USA","1778","540","30.4"
"CVPR","2013","26th","Portland, USA","1798","472","26.3"
"CVPR","2012","25th","Providence, Rhode Island, USA","1776","465","26.2"
"CVPR","2011","24th","Colorado Springs, USA","1688","438","25.9"
"CVPR","2010","23rd","San Francisco, California, USA","1724","462","26.8"
"CVPR","2009","22nd","Miami, USA","1464","383","26.2"
"CVPR","2008","21st","Anchorage, USA","1593","508","31.9"
"CVPR","2007","20th","Minneapolis, USA","1250","353","28.2"
"CVPR","2006","19th","New York City, USA","1131","318","28.1"
"CVPR","2005","18th","San Diego, California, USA","1160","324","27.9"
"CVPR","2004","17th","Washington DC, USA","873","260","29.8"
"CVPR","2003","16th","Madison, USA","905","209","23.1"
"CVPR","2001","15th","Kauai, Hawaii, USA","920","273","29.7"
"CVPR","2000","14th","Hilton Head, USA","466","220","47.2"
"CVPR","1999","13th","Fort Collins, USA","503","192","38.2"
"CVPR","1998","12th","Santa Barbara, California, USA","453","139","30.7"
"CVPR","1997","11th","San Juan, Puerto Rico","544","173","31.8"
"CVPR","1996","10th","San Francisco, California, USA","551","137","24.9"
"CVPR","1994","9th","Seattle, USA","472","164","34.7"
"CVPR","1993","8th","New York City, USA","431","186","43.2"
"CVPR","1992","7th","Champaign, USA","357","159","44.5"
"CVPR","1991","6th","Maui, Hawaii, USA","491","143","29.1"
"CVPR","1989","5th","San Diego, California, USA","327","95","29.1"
"CVPR","1988","4th","Ann Arbor, USA","300","140","46.7"
"CVPR","1986","3rd","Miami, USA","200","91","45.5"
"CVPR","1985","2nd","San Francisco, California, USA","240","124","51.7"
"CVPR","1983","1st","Arlington, USA","210","117","55.7"
"ECCV","2024","18th","Milan, Italy","8585","2387","27.8"
"ECCV","2022","17th","Tel Aviv, Israel","5804","1645","28.3"
"ECCV","2020","16th","Glasgow, Scotland, UK","5150","1360","26.4"
"ECCV","2018","15th","Munich, Germany","2439","776","31.8"
"ECCV","2016","14th","Amsterdam, The Netherlands","1561","415","26.6"
"ECCV","2014","13th","Zurich, Switzerland","1444","363","25.1"
"ECCV","2012","12th","Florence, Italy","1437","408","28.4"
"ECCV","2010","11th","Heraklion, Greece","1174","325","27.7"
"ECCV","2008","10th","Marseille, France","871","203","23.3"
"ECCV","2006","9th","Graz, Austria","811","192","23.7"
"ECCV","2004","8th","Prague, Czech Republic","555","190","34.2"
"ECCV","2002","7th","Copenhagen, Denmark","600","226","37.7"
"ECCV","2000","6th","Dublin, Ireland","266","116","43.6"
"ECCV","1998","5th","Freiburg, Germany","223","112","50.2"
"ECCV","1996","4th","Cambridge, UK","328","123","37.5"
"ECCV","1994","3rd","Stockholm, Sweden","318","115","36.2"
"ECCV","1992","2nd","Santa Margherita Ligure, Italy","308","105","34.1"
"ECCV","1990","1st","Antibes, France","298","81","27.2"
"ICCV","2025","20th","Honolulu, Hawaii, USA","11239","2698","24"
"ICCV","2023","19th","Paris, France","8088","2160","26.7"
"ICCV","2021","18th","Online, Online","6236","1617","25.9"
"ICCV","2019","17th","Seoul, Korea","4303","1075","25"
"ICCV","2017","16th","Venice, Italy","2143","621","29"
"ICCV","2015","15th","Santiago, Chile","1698","525","30.9"
"ICCV","2013","14th","Sydney, Australia","1629","454","27.9"
"ICCV","2011","13th","Barcelona, Spain","1394","339","24.3"
"ICCV","2009","12th","Kyoto, Japan","1238","308","24.9"
"ICCV","2007","11th","Rio de Janeiro, Brazil","1190","280","23.5"
"ICCV","2005","10th","Beijing, China","1230","244","19.8"
"ICCV","2003","9th","Nice, France","966","199","20.6"
"ICCV","2001","8th","Vancouver, Canada","596","205","34.4"
"ICCV","1999","7th","Corfu, Greece","575","163","28.3"
"ICCV","1998","6th","Mumbai, India","545","140","25.7"
"ICCV","1995","5th","Boston, USA","600","161","26.8"
"ICCV","1993","4th","Berlin, Germany","380","101","26.6"
"ICCV","1990","3rd","Osaka, Japan","420","102","24.3"
"ICCV","1988","2nd","Tampa, USA","306","89","29.1"
"ICCV","1987","1st","London, UK","300","60","20"
"ICDE","2025","41st","Hong Kong, China","1518","300","19.8"
"ICDE","2024","40th","Utrecht, The Netherlands","1481","376","25.4"
"ICDE","2023","39th","Anaheim, California, USA","748","229","30.6"
"ICDE","2022","38th","Kuala Lumpur, Malaysia","780","211","27.1"
"ICDE","2021","37th","Online, Online","549","151","27.5"
"ICDE","2020","36th","Online, Online","568","129","22.7"
"ICDE","2019","35th","Macau, China","568","129","22.7"
"ICDE","2018","34th","Paris, France","424","98","23.1"
"ICDE","2017","33rd","San Diego, California, USA","356","63","17.7"
"ICDE","2016","32nd","Helsinki, Finland","395","99","25.1"
"ICDE","2015","31st","Seoul, Korea","409","103","25.2"
"ICDE","2014","30th","Chicago, USA","446","89","20"
"ICDE","2013","29th","Brisbane, Australia","443","95","21.4"
"ICDE","2012","28th","Arlington, USA","413","100","24.2"
"ICDE","2011","27th","Hannover, Germany","491","98","20"
"ICDE","2010","26th","Long Beach, California, USA","523","110","21"
"ICDE","2009","25th","Shanghai, China","545","93","17.1"
"ICDE","2008","24th","Cancun, Mexico","615","119","19.3"
"ICDE","2007","23rd","Istanbul, Turkey","620","111","17.9"
"ICDE","2006","22nd","Atlanta, USA","460","89","19.3"
"ICDE","2005","21st","Tokyo, Japan","521","100","19.2"
"ICDE","2004","20th","Boston, USA","441","83","18.8"
"ICDE","2003","19th","Bangalore, India","378","77","20.4"
"ICDE","2002","18th","San Jose, California, USA","287","54","18.8"
"ICDE","2001","17th","Heidelberg, Germany","296","54","18.2"
"ICDE","2000","16th","San Diego, California, USA","287","41","14.3"
"ICDE","1999","15th","Sydney, Australia","299","57","19.1"
"ICDE","1998","14th","Orlando, USA","252","56","22.2"
"ICDE","1997","13th","Birmingham, UK","240","45","18.8"
"ICDE","1996","12th","New Orleans, USA","264","60","22.7"
"ICDE","1995","11th","Taipei, Taiwan, China","233","56","24"
"ICDE","1994","10th","Houston, USA","270","50","18.5"
"ICDE","1993","98th","Vienna, Austria","286","72","25.2"
"ICDE","1992","8th","Tempe, USA","213","69","32.4"
"ICDE","1991","7th","Kobe, Japan","260","77","29.6"
"ICDE","1989","5th","Los Angeles, California, USA","277","73","26.4"
"ICDE","1987","3rd","Los Angeles, California, USA","209","72","34.4"
"ICDE","1986","2nd","Los Angeles, California, USA","184","75","40.8"
"PODS","2025","44th","Berlin, Germany","127","45","35.4"
"PODS","2024","43rd","Santiago, Chile","110","39","35.5"
"PODS","2023","42nd","Seattle, USA","85","29","34.1"
"PODS","2022","41st","Philadelphia, USA","95","33","34.7"
"PODS","2021","40th","Xi'an, China","79","26","32.9"
"PODS","2020","39th","Online, Online","70","26","37.1"
"PODS","2019","38th","Amsterdam, The Netherlands","87","29","33.3"
"PODS","2018","37th","Houston, USA","83","29","34.9"
"PODS","2017","36th","Chicago, USA","101","29","28.7"
"PODS","2016","35th","San Francisco, California, USA","94","31","33"
"PODS","2015","34th","Melbourne, Australia","80","25","31.2"
"PODS","2014","33rd","Snowbird, USA","67","22","32.8"
"PODS","2013","32nd","New York City, USA","97","24","24.7"
"PODS","2012","31st","Scottsdale, USA","101","26","25.7"
"PODS","2011","30th","Athens, Greece","113","25","22.1"
"PODS","2010","29th","Indianapolis, USA","113","27","23.9"
"PODS","2009","28th","Providence, Rhode Island, USA","97","26","26.8"
"PODS","2008","27th","Vancouver, Canada","159","28","17.6"
"PODS","2007","26th","Beijing, China","187","28","15"
"PODS","2006","25th","Chicago, USA","185","35","18.9"
"PODS","2005","24th","Baltimore, USA","157","32","20.4"
"PODS","2004","23rd","Paris, France","183","30","16.4"
"PODS","2003","22nd","San Diego, California, USA","136","27","19.9"
"PODS","2002","21st","Madison, USA","109","24","22"
"PODS","2001","20th","Santa Barbara, California, USA","99","26","26.3"
"PODS","2000","19th","Dallas, USA","119","26","21.8"
"PODS","1999","18th","Philadelphia, USA","116","32","27.6"
"PODS","1998","17th","Seattle, USA","119","28","23.5"
"PODS","1997","16th","Tucson, USA","118","23","19.5"
"PODS","1996","15th","Montreal, Canada","84","22","26.2"
"PODS","1995","14th","San Jose, California, USA","94","25","26.6"
"PODS","1994","13th","Minneapolis, USA","117","28","23.9"
"PODS","1993","12th","Washington DC, USA","115","26","22.6"
"PODS","1984","3rd","Waterloo, Canada","107","36","33.6"
"PODS","1983","2nd","Atlanta, USA","118","38","32.2"
"PODS","1982","1st","Los Angeles, California, USA","104","37","35.6"
"VLDB","2015","41st","Kohala Coast, Hawaii, USA","710","151","21.3"
"VLDB","2013","39th","Trento, Italy","559","127","22.7"
"VLDB","2012","38th","Istanbul, Turkey","659","134","20.3"
"VLDB","2011","37th","Seattle, USA","553","100","18.1"
"VLDB","2010","36th","Singapore, Singapore","478","84","17.6"
"VLDB","2009","35th","Lyon, France","575","100","17.4"
"VLDB","2008","34th","Auckland, New Zealand","590","101","17.1"
"VLDB","2007","33rd","Vienna, Austria","594","108","18.2"
"VLDB","2006","32nd","Seoul, Korea","626","83","13.3"
"VLDB","2005","31st","Trondheim, Norway","517","85","16.4"
"VLDB","2004","30th","Toronto, Canada","463","83","17.9"
"VLDB","2003","29th","Berlin, Germany","411","75","18.2"
"VLDB","2002","28th","Hong Kong, China","431","69","16"
"VLDB","2001","27th","Roma, Italy","337","59","17.5"
"VLDB","2000","26th","Cairo, Egypt","349","53","15.2"
"VLDB","1999","25th","Edinburgh, Scotland, UK","387","51","13.2"
"VLDB","1998","24th","New York City, USA","328","51","15.5"
"VLDB","1997","23rd","Athens, Greece","355","53","14.9"
"VLDB","1996","22nd","Bombay, India","349","48","13.8"
"VLDB","1995","21st","Zurich, Switzerland","297","52","17.5"
"ICME","2025","26th","Nantes, France","3737","1019","27.3"
"ICME","2024","25th","Niagara Falls, Canada","2049","666","32.5"
"ICME","2023","24th","Brisbane, Australia","1274","488","38.3"
"ICME","2022","23rd","Taipei, Taiwan, China","1285","381","29.6"
"ICME","2021","22nd","Online, Online","1300","397","30.5"
"ICME","2020","21st","Online, Online","834","241","28.9"
"ICME","2019","20th","Shanghai, China","1002","313","31.2"
"ICME","2018","19th","San Diego, California, USA","582","173","29.7"
"ICME","2017","18th","Hong Kong, China","1002","313","31.2"
"ICME","2014","15th","Chengdu, China","716","212","29.6"
"ICME","2013","14th","San Jose, California, USA","622","186","29.9"
"ICME","2012","13th","Melbourne, Australia","609","184","30.2"
"ICME","2011","12th","Barcelona, Spain","744","223","30"
"ICME","2008","9th","Hannover, Germany","811","407","50.2"
"ICME","2007","8th","Beijing, China","1200","573","47.8"
"ICME","2006","7th","Toronto, Canada","1022","552","54"
"ICME","2004","5th","Taipei, Taiwan, China","841","579","68.8"
"ICME","2000","1st","New York City, USA","650","400","61.5"
"CIKM","2025","34th","Seoul, Korea","1627","443","27.2"
"CIKM","2024","33rd","Boise, Idaho, USA","1496","347","23.2"
"CIKM","2023","32nd","Birmingham, UK","1472","354","24"
"CIKM","2022","31st","Atlanta, USA","1175","274","23.3"
"CIKM","2021","30th","Online, Online","1251","271","21.7"
"CIKM","2020","29th","Online, Online","1175","274","23.3"
"CIKM","2019","28th","Beijing, China","1031","202","19.6"
"CIKM","2018","27th","Turin, Italy","826","147","17.8"
"CIKM","2017","26th","Singapore, Singapore","855","171","20"
"CIKM","2016","25th","Indianapolis, USA","701","160","22.8"
"CIKM","2015","24th","Melbourne, Australia","646","165","25.5"
"CIKM","2014","23rd","Shanghai, China","838","175","20.9"
"CIKM","2013","22nd","San Francisco, California, USA","848","143","16.9"
"CIKM","2012","21st","Maui, Hawaii, USA","1088","146","13.4"
"CIKM","2011","20th","Glasgow, Scotland, UK","918","134","14.6"
"CIKM","2010","19th","Toronto, Canada","945","126","13.3"
"CIKM","2009","18th","Beijing, China","847","123","14.5"
"CIKM","2008","17th","Napa Valley, California, USA","800","132","16.5"
"CIKM","2007","16th","Lisbon, Portugal","512","86","16.8"
"CIKM","2006","16th","Arlington, USA","512","86","16.8"
"CIKM","2005","14th","Bremen, Germany","425","77","18.1"
"CIKM","2004","13th","Washington DC, USA","303","60","19.8"
"CIKM","2003","12th","New Orleans, USA","378","59","15.6"
"CIKM","2002","11th","Washington DC, USA","300","75","25"
"CIKM","2001","10th","Atlanta, USA","259","66","25.5"
"CIKM","2000","9th","Washington DC, USA","303","60","19.8"
"SIGMOD","2025","51th","Berlin, Germany","1008","250","24.8"
"SIGMOD","2024","50th","Santiago, Chile","768","213","27.7"
"SIGMOD","2023","49th","Seattle, USA","660","186","28.2"
"SIGMOD","2022","48th","Philadelphia, USA","514","151","29.4"
"SIGMOD","2021","47th","Xi'an, China","450","188","41.8"
"SIGMOD","2020","46th","Online, Online","458","123","26.9"
"SIGMOD","2019","45th","Amsterdam, The Netherlands","418","88","21.1"
"SIGMOD","2018","44th","Houston, USA","458","90","19.7"
"SIGMOD","2017","43rd","Chicago, USA","489","96","19.6"
"SIGMOD","2016","42nd","San Francisco, California, USA","569","116","20.4"
"SIGMOD","2015","41st","Melbourne, Australia","413","106","25.7"
"SIGMOD","2014","40th","Snowbird, USA","421","107","25.4"
"SIGMOD","2013","39th","New York City, USA","372","76","20.4"
"SIGMOD","2012","38th","Scottsdale, USA","289","48","16.6"
"SIGMOD","2011","37th","Athens, Greece","375","84","22.4"
"SIGMOD","2010","36th","Indianapolis, USA","384","80","20.8"
"SIGMOD","2009","35th","Providence, Rhode Island, USA","397","63","15.9"
"SIGMOD","2008","34th","Vancouver, Canada","435","78","17.9"
"SIGMOD","2007","33rd","Beijing, China","480","70","14.6"
"SIGMOD","2006","32nd","Chicago, USA","446","58","13"
"SIGMOD","2005","31st","Baltimore, USA","431","65","15.1"
"SIGMOD","2004","30th","Paris, France","431","69","16"
"SIGMOD","2003","29th","San Diego, California, USA","342","53","15.5"
"SIGMOD","2002","28th","Madison, USA","240","42","17.5"
"SIGMOD","2001","27th","Santa Barbara, California, USA","293","44","15"
"SIGMOD","2000","26th","Dallas, USA","248","42","16.9"
"SIGMOD","1999","25th","Philadelphia, USA","205","42","20.5"
"SIGMOD","1998","24th","Seattle, USA","246","42","17.1"
"SIGMOD","1997","23rd","Tucson, USA","202","42","20.8"
"SIGMOD","1996","22nd","Montreal, Canada","290","47","16.2"
"SIGMOD","1990","16th","Atlantic City, USA","206","37","18"
"SIGMOD","1988","14th","Chicago, USA","211","48","22.7"
"SIGMOD","1987","13th","San Francisco, California, USA","178","42","23.6"
"SIGMOD","1986","12th","Washington DC, USA","158","30","19"
"SIGMOD","1994","10th","Minneapolis, USA","279","40","14.3"
"SIGMOD","1983","9th","San Jose, California, USA","103","23","22.3"
"SIGMOD","1982","8th","Orlando, USA","123","33","26.8"
"SIGMOD","1981","7th","Ann Arbor, USA","93","25","26.9"
"ACM MM","2025","33rd","Dublin, Ireland","5330","1250","23.5"
"ACM MM","2024","32nd","Melbourne, Australia","4385","1150","26.2"
"ACM MM","2023","31st","Ottawa, Canada","3072","902","29.4"
"ACM MM","2022","30th","Lisbon, Portugal","2472","691","28"
"ACM MM","2021","29th","Chengdu, China","1942","542","27.9"
"ACM MM","2020","28th","Online, Online","1698","474","27.9"
"ACM MM","2019","27th","Nice, France","936","252","26.9"
"ACM MM","2018","26th","Seoul, Korea","757","209","27.6"
"ACM MM","2017","25th","Mountain View, California, USA","684","189","27.6"
"ACM MM","2016","24th","Amsterdam, The Netherlands","237","52","21.9"
"ACM MM","2015","23rd","Brisbane, Australia","252","56","22.2"
"ACM MM","2014","22nd","Orlando, USA","286","55","19.2"
"ACM MM","2013","21st","Barcelona, Spain","235","47","20"
"ACM MM","2012","20th","Nara, Japan","331","67","20.2"
"ACM MM","2011","19th","Scottsdale, USA","335","58","17.3"
"ACM MM","2010","18th","Florence, Italy","357","61","17.1"
"ACM MM","2009","17th","Beijing, China","305","50","16.4"
"ACM MM","2008","16th","Vancouver, Canada","280","56","20"
"ACM MM","2007","15th","Augsburg, Germany","298","57","19.1"
"ACM MM","2006","14th","Santa Barbara, California, USA","292","48","16.4"
"ACM MM","2005","13th","Singapore, Singapore","312","49","15.7"
"ACM MM","2004","12th","New York City, USA","331","55","16.6"
"ACM MM","2003","11th","Berkeley, California, USA","255","43","16.9"
"ACM MM","2002","10th","Juan-les-Pins, France","330","46","13.9"
"ACM MM","1997","5th","Seattle, USA","142","40","28.2"
"ICDM","2025","25th","Washington DC, USA","750","175","23.3"
"ICDM","2024","24th","Abu Dhabi, UAE","594","118","19.9"
"ICDM","2023","23rd","Shanghai, China","926","200","21.6"
"ICDM","2022","22nd","Orlando, USA","870","174","20"
"ICDM","2021","21st","Online, Online","990","198","20"
"ICDM","2020","20th","Online, Online","930","183","19.7"
"ICDM","2019","19th","Beijing, China","1046","194","18.5"
"ICDM","2018","18th","Singapore, Singapore","948","188","19.8"
"ICDM","2017","17th","New Orleans, USA","778","155","19.9"
"ICDM","2016","16th","Barcelona, Spain","904","178","19.7"
"ICDM","2015","15th","Atlantic City, USA","807","146","18.1"
"ICDM","2014","14th","Shenzhen, China","727","143","19.7"
"ICDM","2013","13th","Dallas, USA","809","159","19.7"
"ICDM","2012","12th","Brussels, Belgium","756","151","20"
"ICDM","2011","11th","Vancouver, Canada","786","148","18.8"
"ICDM","2010","10th","Sydney, Australia","797","155","19.4"
"ICDM","2009","9th","Miami, USA","786","139","17.7"
"ICDM","2008","8th","Pisa, Italy","724","144","19.9"
"ICDM","2007","7th","Omaha, USA","530","101","19.1"
"ICDM","2006","6th","Hong Kong, China","776","152","19.6"
"ICDM","2005","5th","Houston, USA","630","141","22.4"
"ICDM","2004","4th","Brighton, UK","451","105","23.3"
"ICDM","2003","3rd","Melbourne FL, USA","500","128","25.6"
"ICDM","2002","2nd","Maebashi City, Japan","369","121","32.8"
"ICDM","2001","1st","San Jose, California, USA","365","112","30.7"
"KDD","2025","31th","Toronto, Canada","2955","552","18.7"
"KDD","2024","30th","Barcelona, Spain","2046","411","20.1"
"KDD","2023","29th","Long Beach, California, USA","1416","313","22.1"
"KDD","2022","28th","Washington DC, USA","1659","254","15.3"
"KDD","2021","27th","Online, Online","1541","239","15.5"
"KDD","2020","26th","Online, Online","1279","217","17"
"KDD","2019","25th","Anchorage, USA","1179","174","14.8"
"KDD","2018","24th","London, UK","983","181","18.4"
"KDD","2017","23rd","Halifax, Canada","748","130","17.4"
"KDD","2016","22nd","San Francisco, California, USA","784","142","18.1"
"KDD","2015","21st","Sydney, Australia","819","160","19.5"
"KDD","2014","20th","New York City, USA","1036","151","14.6"
"KDD","2013","19th","Chicago, USA","726","125","17.2"
"KDD","2012","18th","Beijing, China","755","133","17.6"
"KDD","2011","17th","San Diego, California, USA","714","126","17.6"
"KDD","2010","16th","Washington DC, USA","578","101","17.5"
"KDD","2009","15th","Paris, France","537","105","19.6"
"KDD","2008","14th","Las Vegas, USA","510","95","18.6"
"KDD","2007","13th","San Jose, California, USA","513","92","17.9"
"KDD","2006","12th","Philadelphia, USA","457","105","23"
"KDD","2005","11th","Chicago, USA","465","76","16.3"
"KDD","2004","10th","Seattle, USA","337","85","25.2"
"KDD","2003","9th","Washington DC, USA","258","70","27.1"
"KDD","2002","8th","Edmonton, Canada","270","69","25.6"
"KDD","2001","7th","San Francisco, California, USA","203","52","25.6"
"KDD","2000","6th","Boston, USA","280","52","18.6"
