"conference","full_name","category","main_discipline","other_disciplines","organization","website"
"SIGIR","International ACM SIGIR Conference on Research and Development in Information Retrieval","IR","Information Retrieval","Search & Rank;Search Recommendation;Content Analysis;ML for Search & Recomm.;Humans and Interface;IR Evaluation;FATE in IR","ACM SIGIR","https://sigir.org"
"ICMR","ACM International Conference on Multimedia Retrieval","Multimedia","Multimedia Retrieval","Computer Vision;Search;Recommender System;Web;Social Network;Data Mining;Indexing;Semantic Descriptors;Narrative;Query;NLP;Information Retrieval;HCI;Signal Processing","ACM SIGMM","https://sites.google.com/view/www-acmicmr-org"
"ICWSM","ICWSM: International AAAI Conference on Web and Social Media","Web","Computational Social Science;Social Media;Web Mining","Social Network;HCI;NLP;Data Mining;Information Diffusion;Misinformation","AAAI","https://www.icwsm.org"
"WWW","The ACM Web Conference","Web","Web and all related","Economics;Graph;Search;Security;Semantics and Knowledge;HCI;Social Network;Web Systems;User Modeling;Web Mining;Data Mining;CV;NLP;Information Retrieval;Recommender System;Ranking","Now ACM SIGWEB, former is IW3C2","https://WWW.org"
"CHI","ACM Conference on Human Factors in Computing Systems","HCI","Human-Computer Interaction","UX Design;Cognitive Psychology;Social Computing;Social Network;Interaction Design;Usability;Accessibility;Health;Devices;Visualization","ACM SIGCHI","https://archive.sigchi.org/conferences/conference-history/chi/"
"CSCW","ACM Conference on Computer-Supported Cooperative Work and Social Computing","HCI","Human-Computer Interaction;Social Computing;Computer-Supported Cooperative Work","Crowd Computing;Computing System;HCI Tools;Ethics;Privacy;Sociology;UX Design","ACM CHI","https://archive.sigchi.org/conferences/conference-history/CSCW/"
"UbiComp","ACM International Joint Conference on Pervasive and Ubiquitous Computing","HCI","HCI;Pervasive Computing;Sensor Networks","Mobile Computing;Wearable Computing;Ambient Intelligence;Privacy & Security;Context-aware Computing","ACM SIGCHI","ubicomp.org"
"UIST","ACM Symposium on User Interface Software and Technology","HCI","HCI","Graphical UI;Web UI;Tangible Computing;Ubiquitous Computing;VR;AR;Multimedia;Devices","ACM SIGCHI, ACM SIGGRAPH","https://uist.acm.org"
"INFOCOM","IEEE International Conference on Computer Communications","Network","Network;Communications","Wireless Network;Mobile Network;Network Security;Privacy;Cloud Computing;Edge Computing;IoT;Protocols;Network Architecture","IEEE ComSoc","ieee-infocom.org"
"NSDI","USENIX Symposium on Networked Systems Design and Implementation","Network","Distributed System;Networked System","Operating System Design;Cloud Computing;Storage System;Data Center;Security & Privacy;Performance","USENIX, ACM SIGCOMM, ACM SIGOPS","https://www.usenix.org/conferences/byname/178"
"SIGCOMM","Annual Conference of the ACM SIGCOMM on the Applications, Technologies, Architectures, and Protocols for Computer Communication","Network","Communication;Computer Network","Internet Architecture;Distributed System;Network Security;Network Measurement;Performance;Cloud Computing;Wireless & Mobile","ACM SIGCOMM","https://dl.acm.org/sig/sigcomm"
"MobiCom","International Conference on Mobile Computing and Networking","Mobile","Mobile Computing;Wireless Networking;Networked Systems","IoT;Edge Computing;Cyber-Physical Systems;Security & Privacy;Efficiency","ACM SIGMOBILE","https://www.sigmobile.org/grav/"
"MobiSys","ACM International Conference on Mobile Systems, Applications, and Services","Mobile","Mobile Systems;Mobile Networks;Ubiquitous and Pervasive Computing;Mobile Applications and Services","Mobile Security & Privacy;Energy Efficiency in Mobile Systems;Sensor Networks;IoT;AR & VR;Edge Computing;Cloud Computing","ACM SIGMOBILE","https://www.sigmobile.org/grav/events/conferences/mobisys"
"SenSys","ACM Conference on Embedded Networked Sensor Systems","Mobile","Sensors;Embedded Systems;IoT","Cyber-Physical Systems;Networking;Energy Harvesting;Power Management;Security & Privacy","ACM","https://www.sigmobile.org/grav/events/conferences/sensys"
"ACL","Annual Meeting of the Association for Computational Linguistics","NLP","Natural Language Processing;Computational Linguistics;ML for NLP","Speech and Audio Processing;Multimodal Learning;Information Retrieval;Ethics and Fairness in NLP;HCI for NLP","Association for Computational Linguistics","https://www.aclweb.org/portal/"
"EMNLP","Conference on Empirical Methods in Natural Language Processing","NLP","NLP;Linguistics;ML for NLP","Information Retrieval;Computational Linguistics;AI;Speech Processing;Semantics","Association for Computational Linguistics, ACL SIGDAT","https://sigdat.org"
"NAACL","Annual Conference of the North American Chapter of the Association for Computational Linguistics.","NLP","NLP;Computational Linguistics;ML for NLP","Information Retrieval;Speech and Dialogue Systems;Multimodal Learning;Ethics in NLP;Linguistic Resources & Evaluation","NAACL, ACL","https://naacl.org/conferences/index.html"
"COLT","Annual Conference on Computational Learning Theory.","AI & ML","Theoretical Machine Learning","Statistics;Applied Mathematics;Learning Theory","Association for Computational Learning","https://www.learningtheory.org/"
"AISTATS","International Conference on Artificial Intelligence and Statistics","AI & ML","Artificial Intelligence;Statistics;Machine Learning","ML Methods & Algorithms;Probabilistic Methods;ML Theory & Statistics;Deep Learning;Reinforcement Learning;Ethical & Trustworthy ML;ML Applications & Statistics","Society for Artificial Intelligence and Statistics","https://aistats.org"
"UAI","Conference on Uncertainty in Artificial Intelligence","AI & ML","Knowledge Representation w/ Uncertainty;Learning w/ Uncertainty;Reasoning w/ Uncertainty","ML;Bayesian Inference;Probabilistic Graphical Models;Causal Inference;Decision Theory;RL;Information Theory;Computational Neuroscience","<a href='https://www.auai.org/' target='_blank'>The Association for Uncertainty in Artificial Intelligence</a>","https://www.auai.org/"
"ASPLOS","ACM International Conference on Architectural Support for Programming Languages and Operating Systems","Arch","Computer Architecture;Operating Systems;Programming Language & Compilers","Security & Privacy in Systems;Emerging Technologies & Applications;ML for Systems;Energy-Efficient Computing;Distributed Systems & Cloud Computing","ACM, ACM SIGARCH, ACM SIGOPS, ACM SIGPLAN","https://www.asplos-conference.org/"
"HPCA","IEEE International Symposium on High-Performance Computer Architecture","Arch","Computer Architecture;Programming Languages;Operating Systems","Process;Memory;Storage;Multicore & Multiprocessor Architecture;Interconnection Networks;Network Interface Architecture;Domain-specific Architecture and Accelerators;Near/In-memory Computing;Reliability;Fault Tolerance;Energy Efficiency;Sustainability;Parallel Computing","IEEE","https://www.hpca-conf.org/"
